brain_region_id,brain_region_name,cellinstance_cell_id,celltype_cell_name 
241,Paraventricular nucleus of the hypothalamus, descending division, dorsal parvicellular part,102,wide field diffuse amacrine cell
241,Paraventricular nucleus of the hypothalamus, descending division, dorsal parvicellular part,105,type (a) narrow-field unistratified amacrine cell
241,Paraventricular nucleus of the hypothalamus, descending division, dorsal parvicellular part,230,spiny neurogliaform neuron
241,Paraventricular nucleus of the hypothalamus, descending division, dorsal parvicellular part,232,spiny projection neuron
241,Paraventricular nucleus of the hypothalamus, descending division, dorsal parvicellular part,233,projecting star neuron
241,Paraventricular nucleus of the hypothalamus, descending division, dorsal parvicellular part,234,constrained-range neuron
241,Paraventricular nucleus of the hypothalamus, descending division, dorsal parvicellular part,246,simple bipolar neuron
241,Paraventricular nucleus of the hypothalamus, descending division, dorsal parvicellular part,247,monopolar neuron
242,Paraventricular nucleus of the hypothalamus, descending division, lateral parvicellular part,105,type (a) narrow-field unistratified amacrine cell
242,Paraventricular nucleus of the hypothalamus, descending division, lateral parvicellular part,247,monopolar neuron
243,Paraventricular nucleus of the hypothalamus, descending division, forniceal part,100,retinal ganglion cell "tight" type
243,Paraventricular nucleus of the hypothalamus, descending division, forniceal part,101,retinal amacrine cell
243,Paraventricular nucleus of the hypothalamus, descending division, forniceal part,102,wide field diffuse amacrine cell
245,Paraventricular nucleus of the hypothalamus, magnocellular division, anterior magnocellular part,100,retinal ganglion cell "tight" type
245,Paraventricular nucleus of the hypothalamus, magnocellular division, anterior magnocellular part,102,wide field diffuse amacrine cell
246,Paraventricular nucleus of the hypothalamus, magnocellular division, medial magnocellular part,100,retinal ganglion cell "tight" type
247,Paraventricular nucleus of the hypothalamus, magnocellular division, posterior magnocellular part,100,retinal ganglion cell "tight" type
247,Paraventricular nucleus of the hypothalamus, magnocellular division, posterior magnocellular part,101,retinal amacrine cell
247,Paraventricular nucleus of the hypothalamus, magnocellular division, posterior magnocellular part,102,wide field diffuse amacrine cell
247,Paraventricular nucleus of the hypothalamus, magnocellular division, posterior magnocellular part,105,type (a) narrow-field unistratified amacrine cell
249,Paraventricular nucleus of the hypothalamus, magnocellular division, posterior magnocellular part, lateral zone,229,dense axon plexus-forming neurons
251,Paraventricular nucleus of the hypothalamus, parvicellular division, anterior parvicellular part,100,retinal ganglion cell "tight" type
251,Paraventricular nucleus of the hypothalamus, parvicellular division, anterior parvicellular part,102,wide field diffuse amacrine cell
251,Paraventricular nucleus of the hypothalamus, parvicellular division, anterior parvicellular part,242,PVN pre-autonomic type A neuron
251,Paraventricular nucleus of the hypothalamus, parvicellular division, anterior parvicellular part,246,simple bipolar neuron
252,Paraventricular nucleus of the hypothalamus, parvicellular division, medial parvicellular part, dorsal zone,100,retinal ganglion cell "tight" type
252,Paraventricular nucleus of the hypothalamus, parvicellular division, medial parvicellular part, dorsal zone,102,wide field diffuse amacrine cell
252,Paraventricular nucleus of the hypothalamus, parvicellular division, medial parvicellular part, dorsal zone,105,type (a) narrow-field unistratified amacrine cell
252,Paraventricular nucleus of the hypothalamus, parvicellular division, medial parvicellular part, dorsal zone,229,dense axon plexus-forming neurons
252,Paraventricular nucleus of the hypothalamus, parvicellular division, medial parvicellular part, dorsal zone,230,spiny neurogliaform neuron
252,Paraventricular nucleus of the hypothalamus, parvicellular division, medial parvicellular part, dorsal zone,242,PVN pre-autonomic type A neuron
252,Paraventricular nucleus of the hypothalamus, parvicellular division, medial parvicellular part, dorsal zone,243,PVN pre-autonomic type B neuron
252,Paraventricular nucleus of the hypothalamus, parvicellular division, medial parvicellular part, dorsal zone,246,simple bipolar neuron
252,Paraventricular nucleus of the hypothalamus, parvicellular division, medial parvicellular part, dorsal zone,247,monopolar neuron
253,Paraventricular nucleus of the hypothalamus, parvicellular division, periventricular part,100,retinal ganglion cell "tight" type
253,Paraventricular nucleus of the hypothalamus, parvicellular division, periventricular part,102,wide field diffuse amacrine cell
253,Paraventricular nucleus of the hypothalamus, parvicellular division, periventricular part,105,type (a) narrow-field unistratified amacrine cell
253,Paraventricular nucleus of the hypothalamus, parvicellular division, periventricular part,229,dense axon plexus-forming neurons
253,Paraventricular nucleus of the hypothalamus, parvicellular division, periventricular part,243,PVN pre-autonomic type B neuron
253,Paraventricular nucleus of the hypothalamus, parvicellular division, periventricular part,246,simple bipolar neuron
277,Arcuate nucleus of the hypothalamus,244,PVN pre-autonomic type C neuron
280,Medial preoptic area,105,type (a) narrow-field unistratified amacrine cell
280,Medial preoptic area,246,simple bipolar neuron
288,Parastrial nucleus,306,BST large neuron
290,Anterior hypothalamic nucleus,100,retinal ganglion cell "tight" type
290,Anterior hypothalamic nucleus,101,retinal amacrine cell
295,Suprachiasmatic nucleus,235,wide-range neuron
295,Suprachiasmatic nucleus,236,heterodendritic neuron
295,Suprachiasmatic nucleus,237,GABA-IR neuron, BST
295,Suprachiasmatic nucleus,238,type I PVN neuron
295,Suprachiasmatic nucleus,239,type II PVN neuron
321,Lateral hypothalamic area,105,type (a) narrow-field unistratified amacrine cell
321,Lateral hypothalamic area,246,simple bipolar neuron
